filename;compressed_size;uncompressed_size
10239.json;306335;5331385
1023.json;477504;7258208
10240.json;312756;5376999
10241.json;312950;5415932
10242.json;351538;5416485
10243.json;293141;5280625
10244.json;451824;5700768
10245.json;401699;5525752
10246.json;425387;5701403
10247.json;386560;5610189
10248.json;375167;5643495
10249.json;373591;5919300
1024.json;476981;7276329
10250.json;251847;5368319
10251.json;441669;6108635
10252.json;322810;4384308
10253.json;326340;4708545
10254.json;394851;5414835
10255.json;479139;6267139
10256.json;372789;5575483
10257.json;397730;5689196
10258.json;315361;5430350
10259.json;373355;5435405
1025.json;479228;7236961
10260.json;313394;5688655
10261.json;299061;5486507
10262.json;227001;5482816
10263.json;283870;5371809
10264.json;329129;5148671
10265.json;251109;5457868
10266.json;378583;5513924
10267.json;351032;5474914
10268.json;370709;5314467
10269.json;284909;5330794
1026.json;484017;7297717
10270.json;249709;5187754
10271.json;306465;5359812
10272.json;239168;5003025
10273.json;491429;6034392
10274.json;1404205;10103278
10275.json;314522;5319532
10276.json;245300;5161464
10277.json;248290;5172467
10278.json;246729;5167472
10279.json;255113;5185939
1027.json;483652;7293817
10280.json;260598;5195248
10281.json;262056;5178147
10282.json;263785;5160485
10283.json;265981;5157474
10284.json;252191;5160022
10285.json;241812;5165707
10286.json;317960;5348343
10287.json;275224;5213450
10288.json;212796;5044651
10289.json;211240;5019200
1028.json;468969;6857121
10290.json;212955;4907468
10291.json;205515;4879569
10292.json;215526;5059930
10293.json;216548;5106651
10294.json;214027;5104990
10295.json;212064;5094825
10296.json;211482;5014578
10297.json;190243;4016778
10298.json;202143;4513116
10299.json;214856;5030136
1029.json;470022;6754491
102.json;199383;3908137
10300.json;214837;5077616
10301.json;212473;4939210
10302.json;218056;4979393
10303.json;212299;5049348
10304.json;214502;5090985
10305.json;217109;5034310
10306.json;212906;5020013
10307.json;214718;5021423
10308.json;213199;4905771
10309.json;212393;4921207
1030.json;464171;6727095
10310.json;282331;5224384
10311.json;210878;4917075
10312.json;209663;4683510
10313.json;218153;5058933
10314.json;212909;5058930
10315.json;209326;4857668
10316.json;216352;5020482
10317.json;213139;4950738
10318.json;205434;4757720
10319.json;203583;4562973
1031.json;466613;6740646
10320.json;204569;4653514
10321.json;209938;4928792
10322.json;206615;4700061
10323.json;198209;4496448
10324.json;209895;4761457
10325.json;205779;4670672
10326.json;203047;4605677
10327.json;211938;5070482
10328.json;204849;4710378
10329.json;207993;4730208
1032.json;465654;6738338
10330.json;211170;4944224
10331.json;202322;4601691
10332.json;192779;4153767
10333.json;202097;4668895
10334.json;202088;4687493
10335.json;197873;4347413
10336.json;194905;4308189
10337.json;202742;4657013
10338.json;203358;4815610
10339.json;208706;5072728
1033.json;465105;6739224
10340.json;202705;4668112
10341.json;201306;4691396
10342.json;209305;5091244
10343.json;219116;5120299
10344.json;303193;5329853
10345.json;249355;5210577
10346.json;207216;5094814
10347.json;208961;5100847
10348.json;217718;5114099
10349.json;212158;5103811
1034.json;457122;6685789
10350.json;209435;5096634
10351.json;215384;5116423
